creator_id,campaign_id,category_match,followers_match,engagement_match,platform_match,experience_score,overall_rating,num_categories,num_languages,account_age_days,estimated_followers,estimated_engagement_rate,campaign_budget,campaign_duration_days,budget_fit,versatility_score,success_rate,outcome
creator_0,campaign_0,0.0,1.0,1.0,0.6571467271687763,5,4.87678576602479,3,4,151,500000,0.06371651421518383,10000,81,0.41010618385852493,1.2000000000000002,0.9753571532049581,1
creator_1,campaign_1,0.0,0.5,1.0,0.7168578594140873,3,3.0308477766956905,4,1,51,5000,0.0373818018663584,1000,65,2.0,0.4,0.6061695553391381,1
creator_2,campaign_2,0.0,1.0,1.0,0.9233589392465844,5,4.958077214516971,1,3,50,500000,0.06467903667112945,5000,10,0.20169109046387104,0.30000000000000004,0.9916154429033941,1
creator_3,campaign_3,0.0,1.0,1.0,0.8186841117373118,5,3.6003812343490034,4,1,1615,50000,0.09183883618709039,20000,8,2.0,0.4,0.7200762468698007,0
creator_4,campaign_4,0.0,1.0,0.5,0.9314950036607718,5,4.848747353910473,4,2,1046,1000000,0.027638457617723072,50000,86,1.0311941693492326,0.8,0.9697494707820946,1
creator_5,campaign_5,0.0,0.5,1.0,0.9085081386743783,3,4.505492451885099,1,1,677,5000,0.07950202923669918,10000,87,2.0,0.1,0.9010984903770198,1
creator_6,campaign_6,0.0,0.5,0.5,0.8244973703390804,3,4.657758564688984,4,2,436,5000,0.015720251525742128,50000,50,2.0,0.8,0.9315517129377968,0
creator_7,campaign_7,1.0,1.0,0.5,0.9630265895704372,1,4.304323802912183,3,1,1514,10000,0.012287721406968568,1000,58,2.0,0.30000000000000004,0.8608647605824367,1
creator_8,campaign_8,0.0,1.0,1.0,0.6746280235544143,2,2.6924497745719824,3,3,711,1000000,0.0892421055113732,50000,12,1.857044854548809,0.9,0.5384899549143964,1
creator_9,campaign_9,0.0,0.5,1.0,0.8136357677501768,5,3.3907445951924373,1,1,662,5000,0.06829211084872261,50000,9,2.0,0.1,0.6781489190384875,1
creator_10,campaign_10,1.0,0.5,0.5,0.8849082359697769,5,3.1103138056194357,3,2,1550,5000,0.04634525539522368,20000,18,2.0,0.6000000000000001,0.6220627611238871,1
creator_11,campaign_11,0.0,0.5,1.0,0.6968221086046001,1,3.7566975580721538,5,4,1691,5000,0.06709162102312274,50000,50,2.0,2.0,0.7513395116144308,0
creator_12,campaign_12,1.0,1.0,0.5,0.943343521925488,4,3.419457831798133,4,2,1564,1000000,0.04589419982000978,1000,65,0.02924440215933725,0.8,0.6838915663596266,1
creator_13,campaign_13,0.0,1.0,1.0,0.6453894084962356,5,4.523752615349288,4,4,1693,100000,0.09464709380406436,5000,7,1.1052770620203203,1.6,0.9047505230698576,1
creator_14,campaign_14,0.0,0.5,1.0,0.9601672228653322,1,4.149960115085447,2,4,910,5000,0.05649723021439129,1000,54,2.0,0.8,0.8299920230170894,1
creator_15,campaign_15,0.0,1.0,1.0,0.6036788206466518,2,4.3148891971755985,3,4,657,1000000,0.08018879912718616,20000,44,0.46351132291163866,1.2000000000000002,0.8629778394351197,0
creator_16,campaign_16,0.0,1.0,1.0,0.7465875138331439,5,3.7140343839655667,3,4,190,500000,0.030184237851450385,1000,20,0.0538497976387755,1.2000000000000002,0.7428068767931133,1
creator_17,campaign_17,0.0,1.0,0.5,0.7737577462041715,5,2.7341869195702313,3,2,67,1000000,0.031959067904117525,50000,57,1.8286972131319819,0.6000000000000001,0.5468373839140462,1
creator_18,campaign_18,1.0,1.0,1.0,0.9533976089065036,5,3.0754631706038884,3,4,1565,50000,0.07916986128756781,20000,36,2.0,1.2000000000000002,0.6150926341207776,1
creator_19,campaign_19,0.0,0.5,0.5,0.7578765867237889,5,4.916637047609174,3,4,282,5000,0.01678116304055154,1000,73,2.0,1.2000000000000002,0.9833274095218348,0
creator_20,campaign_20,1.0,1.0,0.5,0.8211279907631631,4,4.1778587920601264,2,3,814,50000,0.03657615295770449,1000,15,0.47871412116678763,0.6000000000000001,0.8355717584120252,1
creator_21,campaign_21,0.0,0.5,1.0,0.7753896492072347,3,4.028784277164201,4,2,49,5000,0.06651049734537726,20000,21,2.0,0.8,0.8057568554328401,1
creator_22,campaign_22,0.0,1.0,0.5,0.9079974212394444,5,4.954602220776328,2,2,711,1000000,0.03252262244642777,10000,66,0.20183254990817642,0.4,0.9909204441552657,1
creator_23,campaign_23,0.0,1.0,1.0,0.7083329005048297,1,2.629204302921519,4,2,685,50000,0.06736869113483859,20000,36,2.0,0.8,0.5258408605843038,1
creator_24,campaign_24,0.0,1.0,0.5,0.7119735587783771,5,4.906621036694813,1,4,663,500000,0.015237423595759926,5000,54,0.20380624313990586,0.4,0.9813242073389625,1
creator_25,campaign_25,0.0,1.0,1.0,0.637662795307424,3,4.325098291404546,3,4,1026,10000,0.04203754107861355,1000,35,2.0,1.2000000000000002,0.8650196582809093,0
