campaign_id,category,platform,industry,budget,duration_days,start_date,end_date,min_followers,min_engagement,deliverables,content_rights,target_age_group,target_gender,brand_total_campaigns,brand_avg_rating,brand_completion_rate,applications_count
1,Travel,TikTok,Fashion,576,31,2025-12-09,2026-01-09,1000,0.041,"[""Video"", ""Story"", ""Reel"", ""Blog""]",False,55-64,Male,10,4.34,0.522,29
2,Lifestyle,TikTok,Health & Wellness,517,31,2025-12-13,2026-01-13,50000,0.041,"[""Video"", ""Blog"", ""Reel"", ""Story"", ""Post""]",False,55-64,Male,11,3.4,0.784,33
3,Pets,LinkedIn,Gaming,710,51,2026-02-05,2026-03-28,1000,0.017,"[""Blog"", ""Reel"", ""Video""]",False,55-64,All,4,2.95,0.687,47
4,Art,LinkedIn,Beauty & Cosmetics,8578,7,2025-12-22,2025-12-29,100000,0.041,"[""Post""]",True,35-44,All,4,4.17,0.499,23
5,Pets,YouTube,Health & Wellness,931,49,2025-12-10,2026-01-28,5000,0.044,"[""Video"", ""Post"", ""Reel""]",True,13-17,All,7,3.4,0.933,66
6,Photography,LinkedIn,Travel & Tourism,11397,19,2025-12-13,2026-01-01,10000,0.012,"[""Post"", ""Video"", ""Blog"", ""Story""]",False,65+,Female,13,2.71,0.826,10
7,Photography,TikTok,Automotive,618,12,2026-01-03,2026-01-15,50000,0.038,"[""Video"", ""Blog""]",True,55-64,Male,19,4.5,0.813,14
8,DIY,YouTube,Entertainment,1092,27,2026-01-30,2026-02-26,50000,0.039,"[""Blog"", ""Reel"", ""Post""]",False,35-44,All,7,4.74,0.97,14
9,Finance,Instagram,Finance,560,24,2025-12-31,2026-01-24,5000,0.01,"[""Blog"", ""Video"", ""Post""]",True,35-44,Female,9,3.26,0.994,17
10,DIY,LinkedIn,Sports,3041,7,2026-01-01,2026-01-08,50000,0.022,"[""Blog"", ""Post""]",False,13-17,Male,7,4.38,0.621,43
11,Technology,LinkedIn,Home & Garden,1892,15,2025-12-21,2026-01-05,10000,0.035,"[""Video"", ""Post"", ""Reel""]",False,65+,Male,10,4.42,0.881,24
12,Photography,TikTok,Sports,2192,45,2026-01-29,2026-03-15,10000,0.022,"[""Story"", ""Post"", ""Video""]",True,45-54,All,13,4.05,0.708,28
13,Entertainment,YouTube,Fashion,1187,7,2025-12-08,2025-12-15,50000,0.019,"[""Story"", ""Post"", ""Blog"", ""Video""]",False,45-54,Male,10,2.83,0.79,18
14,Music,TikTok,Real Estate,563,19,2026-01-31,2026-02-19,50000,0.012,"[""Video"", ""Story"", ""Blog"", ""Reel""]",False,35-44,All,4,3.57,0.553,27
15,Food,YouTube,E-commerce,850,15,2026-01-24,2026-02-08,1000,0.021,"[""Post"", ""Video""]",True,25-34,Female,11,4.46,0.744,61
16,Art,YouTube,Automotive,669,17,2025-12-17,2026-01-03,1000,0.041,"[""Story"", ""Blog"", ""Reel""]",True,25-34,Male,17,3.24,0.903,29
17,Parenting,YouTube,Beauty & Cosmetics,3680,15,2026-01-06,2026-01-21,1000,0.028,"[""Story"", ""Blog"", ""Video""]",True,18-24,Female,9,2.63,0.739,63
18,Lifestyle,LinkedIn,Education,1129,7,2026-02-08,2026-02-15,1000,0.041,"[""Post"", ""Reel"", ""Blog""]",True,18-24,Male,6,3.73,0.911,13
19,Business,TikTok,Health & Wellness,1874,32,2025-12-29,2026-01-30,50000,0.047,"[""Blog"", ""Reel"", ""Post"", ""Story""]",True,18-24,Male,10,4.19,0.928,34
20,Technology,TikTok,Education,1351,18,2025-12-15,2026-01-02,1000,0.048,"[""Reel""]",False,18-24,Female,10,3.14,0.781,43
21,Beauty,Twitter,Beauty & Cosmetics,1444,31,2026-01-31,2026-03-03,10000,0.014,"[""Reel""]",True,13-17,All,12,1.91,0.868,23
