creator_id,followers,following,engagement_rate,total_posts,account_age_days,tier,categories,platforms,languages,total_campaigns,successful_campaigns,success_rate,overall_rating,total_earnings,is_verified,bio,audience_age_18_24,audience_age_25_34,audience_age_35_44,audience_female_pct,audience_male_pct
1,76501,2942,0.0288,322,1697,mid,"[""Gaming"", ""Fashion"", ""Music""]","[""YouTube"", ""LinkedIn""]","[""French""]",39,37,0.966,4.94,160526.13,False,Passionate about Gaming & Fashion. Mid influencer.,0.435,0.261,0.174,76.8,23.2
2,6460,9044,0.0619,453,601,nano,"[""Gaming"", ""Pets"", ""Fitness""]","[""Facebook""]","[""Japanese""]",3,1,0.453,2.08,201.85,False,Passionate about Gaming & Pets. Nano influencer.,0.435,0.261,0.174,30.6,69.4
3,59049,22906,0.0134,439,292,mid,"[""Beauty"", ""Fashion""]","[""Instagram""]","[""German""]",11,6,0.633,2.87,35106.16,False,Passionate about Beauty & Fashion. Mid influencer.,0.3,0.35,0.2,69.6,30.4
4,10799,17569,0.019,504,655,micro,"[""Lifestyle"", ""Parenting"", ""Fashion""]","[""Facebook""]","[""German""]",5,3,0.748,4.07,4543.87,False,Passionate about Lifestyle & Parenting. Micro influencer.,0.231,0.269,0.269,74.9,25.1
5,39749,14917,0.067,226,1321,micro,"[""Pets"", ""Art""]","[""YouTube""]","[""Korean""]",20,15,0.772,3.5,24065.99,False,Passionate about Pets & Art. Micro influencer.,0.3,0.35,0.2,51.9,48.1
6,11216,18536,0.0295,368,121,micro,"[""DIY"", ""Music"", ""Fashion""]","[""YouTube"", ""Twitter""]","[""Italian""]",0,0,0.564,2.98,0.0,False,Passionate about DIY & Music. Micro influencer.,0.435,0.261,0.174,78.3,21.7
7,47204,25998,0.021,388,1048,micro,"[""Music"", ""Technology""]","[""YouTube""]","[""Italian""]",12,9,0.752,3.86,12289.8,False,Passionate about Music & Technology. Micro influencer.,0.435,0.261,0.174,25.5,74.5
8,30145,21166,0.0575,87,1008,micro,"[""Gaming"", ""Fitness""]","[""Twitter""]","[""Spanish""]",13,6,0.529,2.54,10297.26,False,Passionate about Gaming & Fitness. Micro influencer.,0.435,0.261,0.174,38.0,62.0
9,51454,1420,0.0299,229,94,mid,"[""Finance""]","[""TikTok""]","[""Hindi"", ""Portuguese""]",1,0,0.726,3.33,0.0,False,Passionate about Finance. Mid influencer.,0.261,0.348,0.261,48.2,51.8
10,18643,8002,0.006,434,770,micro,"[""Beauty"", ""Entertainment""]","[""Facebook""]","[""Spanish"", ""Japanese""]",12,7,0.606,3.19,5103.17,False,Passionate about Beauty & Entertainment. Micro influencer.,0.3,0.35,0.2,67.0,33.0
11,5206,968,0.023,94,636,nano,"[""Fitness"", ""Pets""]","[""TikTok""]","[""Hindi""]",1,0,0.777,4.0,0.0,False,Passionate about Fitness & Pets. Nano influencer.,0.3,0.35,0.2,56.0,44.0
12,17506,24925,0.0429,430,795,micro,"[""Finance""]","[""Facebook""]","[""German""]",9,5,0.621,3.06,9224.51,False,Passionate about Finance. Micro influencer.,0.261,0.348,0.261,54.0,46.0
13,24183,23023,0.0203,376,1371,micro,"[""Fitness"", ""Beauty""]","[""LinkedIn"", ""YouTube""]","[""Portuguese""]",18,7,0.422,1.95,12419.99,False,Passionate about Fitness & Beauty. Micro influencer.,0.3,0.35,0.2,81.4,18.6
14,205157,58186,0.0204,233,476,mid,"[""Fitness""]","[""YouTube""]","[""Spanish""]",15,9,0.642,3.45,21828.27,False,Passionate about Fitness. Mid influencer.,0.3,0.35,0.2,69.9,30.1
15,73898,23462,0.0135,455,557,mid,"[""Health""]","[""TikTok""]","[""Korean""]",13,8,0.688,3.66,81007.66,False,Passionate about Health. Mid influencer.,0.231,0.269,0.269,49.2,50.8
16,32519,55283,0.05,554,30,micro,"[""Finance""]","[""YouTube"", ""TikTok""]","[""Italian"", ""German""]",0,0,0.595,3.18,0.0,False,Passionate about Finance. Micro influencer.,0.261,0.348,0.261,51.2,48.8
17,23021,26442,0.0578,471,690,micro,"[""Music""]","[""LinkedIn"", ""Instagram""]","[""Hindi""]",4,1,0.345,1.67,1976.74,False,Passionate about Music. Micro influencer.,0.435,0.261,0.174,54.3,45.7
18,33412,18586,0.0274,331,264,micro,"[""Food"", ""Pets"", ""Lifestyle""]","[""YouTube""]","[""Korean""]",1,0,0.566,2.81,0.0,False,Passionate about Food & Pets. Micro influencer.,0.3,0.35,0.2,56.2,43.8
19,26070,26606,0.0154,87,1506,micro,"[""Health""]","[""TikTok""]","[""Arabic""]",27,14,0.524,2.48,13893.27,False,Passionate about Health. Micro influencer.,0.231,0.269,0.269,53.9,46.1
20,136279,51140,0.0114,130,522,mid,"[""Lifestyle"", ""Education""]","[""Instagram""]","[""German""]",11,7,0.645,3.08,22061.36,True,Passionate about Lifestyle & Education. Mid influencer.,0.3,0.35,0.2,49.0,51.0
21,112767,16598,0.0258,172,918,mid,"[""Beauty"", ""Education""]","[""Twitter""]","[""Portuguese""]",27,13,0.488,2.22,36630.64,False,Passionate about Beauty & Education. Mid influencer.,0.3,0.35,0.2,78.6,21.4
22,315638,13440,0.0092,281,1341,mid,"[""Fitness"", ""Travel""]","[""Facebook""]","[""Italian""]",29,18,0.647,3.44,102737.56,True,Passionate about Fitness & Travel. Mid influencer.,0.3,0.35,0.2,68.5,31.5
23,1317,969,0.0201,325,432,nano,"[""Travel"", ""Business"", ""Health""]","[""LinkedIn"", ""Twitter""]","[""French""]",1,0,0.702,3.73,0.0,False,Passionate about Travel & Business. Nano influencer.,0.261,0.348,0.261,52.2,47.8
24,277466,126286,0.005,68,1620,mid,"[""Music""]","[""YouTube""]","[""German""]",46,36,0.794,3.7,227199.22,False,Passionate about Music. Mid influencer.,0.435,0.261,0.174,46.1,53.9
25,187453,2299,0.0151,133,114,mid,"[""Pets""]","[""Facebook""]","[""Portuguese""]",2,1,0.607,3.29,6149.13,False,Passionate about Pets. Mid influencer.,0.3,0.35,0.2,46.5,53.5
26,28373,14153,0.0739,248,684,micro,"[""DIY""]","[""Twitter""]","[""Hindi""]",11,4,0.386,2.01,1747.11,False,Passionate about DIY. Micro influencer.,0.3,0.35,0.2,53.0,47.0
27,7480,12547,0.0417,635,246,nano,"[""Health"", ""Finance"", ""Lifestyle""]","[""YouTube""]","[""Arabic""]",0,0,0.334,1.62,0.0,False,Passionate about Health & Finance. Nano influencer.,0.261,0.348,0.261,49.4,50.6
28,31411,4482,0.0498,320,105,micro,"[""Business""]","[""Instagram"", ""LinkedIn""]","[""Spanish"", ""French""]",1,0,0.371,1.98,0.0,False,Passionate about Business. Micro influencer.,0.261,0.348,0.261,51.7,48.3
29,5327,4472,0.0316,142,167,nano,"[""Food"", ""Art""]","[""Facebook""]","[""Spanish""]",0,0,0.591,2.81,0.0,False,Passionate about Food & Art. Nano influencer.,0.3,0.35,0.2,56.1,43.9
30,517208,181230,0.005,381,127,macro,"[""Health"", ""Photography"", ""Entertainment""]","[""Facebook""]","[""Portuguese"", ""Arabic""]",9,4,0.528,2.74,218754.66,False,Passionate about Health & Photography. Macro influencer.,0.231,0.269,0.269,48.2,51.8
31,41947,9403,0.0351,534,1576,micro,"[""Fashion"", ""Gaming""]","[""LinkedIn"", ""Facebook""]","[""Portuguese""]",17,9,0.581,3.19,17077.74,False,Passionate about Fashion & Gaming. Micro influencer.,0.435,0.261,0.174,80.4,19.6
32,388231,60249,0.0168,155,592,mid,"[""Education"", ""Gaming""]","[""TikTok""]","[""Japanese"", ""French""]",20,9,0.476,2.61,57796.26,True,Passionate about Education & Gaming. Mid influencer.,0.435,0.261,0.174,29.4,70.6
33,13959,19855,0.0585,117,383,micro,"[""Entertainment"", ""Fashion""]","[""LinkedIn""]","[""Portuguese""]",3,1,0.615,2.82,881.56,False,Passionate about Entertainment & Fashion. Micro influencer.,0.3,0.35,0.2,78.7,21.3
34,35431,49186,0.0388,326,927,micro,"[""Parenting"", ""Food""]","[""Facebook"", ""Instagram""]","[""Portuguese"", ""Arabic""]",14,9,0.667,3.58,13525.08,False,Passionate about Parenting & Food. Micro influencer.,0.231,0.269,0.269,67.5,32.5
35,48370,76507,0.0252,101,733,micro,"[""Photography""]","[""YouTube"", ""LinkedIn""]","[""Italian"", ""French""]",12,9,0.798,3.86,5628.56,False,Passionate about Photography. Micro influencer.,0.3,0.35,0.2,52.6,47.4
36,380136,87879,0.0233,345,401,mid,"[""Pets""]","[""Facebook"", ""Instagram""]","[""Hindi""]",6,3,0.532,2.54,22308.66,False,Passionate about Pets. Mid influencer.,0.3,0.35,0.2,48.7,51.3
37,194064,82272,0.0262,385,1474,mid,"[""Education"", ""Business"", ""Fashion""]","[""Instagram"", ""TikTok""]","[""Portuguese""]",40,32,0.81,4.04,130482.49,True,Passionate about Education & Business. Mid influencer.,0.261,0.348,0.261,66.4,33.6
38,1000,175,0.0891,137,586,nano,"[""Lifestyle""]","[""Instagram""]","[""German""]",2,1,0.854,3.87,147.23,False,Passionate about Lifestyle. Nano influencer.,0.3,0.35,0.2,46.7,53.3
39,10961,15967,0.0407,182,1279,micro,"[""DIY"", ""Fitness"", ""Photography""]","[""LinkedIn""]","[""Korean"", ""Spanish""]",16,12,0.766,3.64,18933.89,False,Passionate about DIY & Fitness. Micro influencer.,0.3,0.35,0.2,64.9,35.1
40,31415,7450,0.031,487,557,micro,"[""Pets""]","[""YouTube""]","[""French""]",10,6,0.683,3.51,3744.85,False,Passionate about Pets. Micro influencer.,0.3,0.35,0.2,46.8,53.2
41,210890,63382,0.0133,211,218,mid,"[""Business"", ""Pets""]","[""YouTube""]","[""Portuguese""]",4,3,0.776,3.83,18706.95,False,Passionate about Business & Pets. Mid influencer.,0.261,0.348,0.261,51.6,48.4
42,31752,19448,0.0473,274,338,micro,"[""Parenting""]","[""Facebook""]","[""Japanese"", ""German""]",2,1,0.57,2.86,1623.13,False,Passionate about Parenting. Micro influencer.,0.231,0.269,0.269,51.7,48.3
43,641168,221069,0.0228,883,581,macro,"[""Pets""]","[""LinkedIn"", ""YouTube""]","[""Portuguese""]",34,14,0.437,2.25,409420.74,True,Passionate about Pets. Macro influencer.,0.3,0.35,0.2,52.4,47.6
44,154219,34458,0.029,242,669,mid,"[""Health""]","[""LinkedIn""]","[""Italian""]",21,9,0.471,2.16,71701.66,False,Passionate about Health. Mid influencer.,0.231,0.269,0.269,49.8,50.2
