creator_id,name,follower_count,tier,engagement_rate,categories,platforms,primary_language,city,audience_age_18_24,audience_age_25_34,audience_age_35_44,audience_female_pct,audience_male_pct,total_campaigns,successful_campaigns,success_rate,overall_rating,is_verified,total_earnings,avg_response_time_hours,completion_rate,created_at
IN_CR_00001,Creator_1,14658,micro,12.02,Devotional & Spirituality,"Josh,LinkedIn",Hindi,Ahmedabad,47.7,45.1,7.2,43.8,56.2,5,4,80.0,4.01,False,63869.201713762166,10.063634947497636,85.1,2024-07-16T00:00:00
IN_CR_00002,Creator_2,1695048,mega,4.39,Technology & Gadgets,"Facebook,TikTok (historical),Josh",English,Jaipur,67.7,56.4,0.0,33.9,66.1,3,2,66.7,2.81,True,1088.6518259858249,6.339383698592071,69.9,2024-03-16T00:00:00
IN_CR_00003,Creator_3,35023,micro,11.91,Travel & Tourism,"Chingari,YouTube",Marathi,Lucknow,85.9,57.1,0.0,58.3,41.7,7,5,71.4,3.73,False,8341.438171781187,4.641723524008759,82.8,2025-05-21T00:00:00
IN_CR_00004,Creator_4,2713,nano,10.28,Devotional & Spirituality,"Josh,LinkedIn",English,Jaipur,49.9,67.1,0.0,61.5,38.5,8,7,87.5,3.93,False,23889.83798155408,10.183702736218558,97.4,2022-11-19T00:00:00
IN_CR_00005,Creator_5,3740,nano,20.78,"Fashion & Lifestyle,Education & Skills","Moj,Twitter,ShareChat",Hindi,Delhi,36.8,74.6,0.0,84.2,15.8,3,2,66.7,4.31,False,13600.135908318261,17.63577528534882,93.2,2023-05-15T00:00:00
IN_CR_00006,Creator_6,191050,mid,6.6,"Travel & Tourism,Food & Cooking,News & Current Affairs","TikTok (historical),Instagram",Hindi,Lucknow,47.7,54.0,0.0,65.1,34.9,12,11,91.7,4.0,False,8077.371753187234,2.778409243188879,92.2,2023-09-22T00:00:00
IN_CR_00007,Creator_7,1685,nano,15.31,"Regional Content,Finance & Investment,Technology & Gadgets","YouTube,TikTok (historical),Chingari",English,Chandigarh,55.5,46.2,0.0,34.0,66.0,6,4,66.7,3.72,True,74280.0219012616,1.8516918545054324,72.1,2025-04-28T00:00:00
IN_CR_00008,Creator_8,2939,nano,15.54,"Travel & Tourism,Fashion & Lifestyle",Moj,Marathi,Kolkata,65.9,40.3,0.0,59.7,40.3,9,8,88.9,3.46,True,67721.31335008462,7.4767031856491855,98.2,2023-10-14T00:00:00
IN_CR_00009,Creator_9,1185,nano,9.95,"Entertainment & Comedy,Beauty & Makeup,Regional Content","TikTok (historical),Josh",Bengali,Lucknow,67.1,41.3,0.0,89.9,10.1,5,3,60.0,3.92,False,110386.71220585096,4.414169607844525,76.8,2023-04-10T00:00:00
IN_CR_00010,Creator_10,20329,micro,22.03,"Education & Skills,Beauty & Makeup","Facebook,Moj,ShareChat",Hindi,Delhi,76.8,74.9,0.0,90.3,9.7,8,7,87.5,3.27,False,22822.348535789068,1.6538937421868543,94.8,2025-03-15T00:00:00
IN_CR_00011,Creator_11,31983,micro,8.06,"Entertainment & Comedy,News & Current Affairs","ShareChat,Josh",English,Lucknow,55.8,71.8,0.0,30.3,69.7,6,4,66.7,3.98,False,24443.031683155095,5.456308305271483,73.5,2025-06-19T00:00:00
IN_CR_00012,Creator_12,999,nano,8.82,Regional Content,"TikTok (historical),LinkedIn",Hindi,Kochi,58.1,35.8,6.0,58.6,41.4,5,4,80.0,3.3,False,10454.812104708226,2.702157276804275,80.9,2024-03-20T00:00:00
IN_CR_00013,Creator_13,33405,micro,9.25,"Beauty & Makeup,Devotional & Spirituality","Facebook,ShareChat",English,Kolkata,63.8,59.4,0.0,96.8,3.2,6,5,83.3,3.3,False,2782.5744720437697,38.35210963105774,89.6,2024-10-17T00:00:00
IN_CR_00014,Creator_14,9099,nano,6.14,"Entertainment & Comedy,Regional Content,Health & Fitness",Moj,Bengali,Hyderabad,86.4,78.4,0.0,44.6,55.4,3,1,33.3,3.71,False,5371.312929571229,12.004689270214175,50.7,2025-03-14T00:00:00
IN_CR_00015,Creator_15,95736,mid,4.71,Gaming,"LinkedIn,Moj,Josh,Chingari",Telugu,Bangalore,60.9,61.7,0.0,9.2,90.8,9,7,77.8,3.32,True,50961.033248400934,25.092736781862925,82.0,2023-09-30T00:00:00
IN_CR_00016,Creator_16,1792,nano,22.81,Sports & Cricket,"Josh,LinkedIn,Twitter",Hindi,Chennai,59.6,63.5,0.0,45.8,54.2,4,3,75.0,4.22,False,50778.85826493766,6.5789255882614786,86.6,2023-08-13T00:00:00
IN_CR_00017,Creator_17,3736,nano,14.35,"Gaming,Technology & Gadgets","TikTok (historical),Facebook",Kannada,Kolkata,25.6,69.1,5.4,18.9,81.1,9,7,77.8,3.95,False,32421.51155226939,7.691442191782147,84.3,2023-07-11T00:00:00
IN_CR_00018,Creator_18,22011,micro,10.84,Sports & Cricket,"Twitter,TikTok (historical),Josh",Hindi,Ahmedabad,76.5,81.5,0.0,55.0,45.0,0,0,0.0,3.66,False,0.0,3.8965625492778497,91.2,2025-08-15T00:00:00
IN_CR_00019,Creator_19,500,nano,18.25,"Entertainment & Comedy,Music & Dance,News & Current Affairs",LinkedIn,Hindi,Ahmedabad,82.1,35.1,0.0,47.7,52.3,8,7,87.5,4.4,False,36710.485114139985,1.0142333668267025,94.5,2022-11-16T00:00:00
IN_CR_00020,Creator_20,47431,micro,10.12,"Finance & Investment,News & Current Affairs,Music & Dance","LinkedIn,Instagram,Josh",Marathi,Mumbai,48.3,47.0,4.7,49.3,50.7,6,5,83.3,4.16,False,10194.623777222776,0.8429718034932996,94.9,2023-11-10T00:00:00
IN_CR_00021,Creator_21,328985,mid,10.9,Devotional & Spirituality,"YouTube,Chingari",Telugu,Bangalore,88.6,46.3,0.0,22.3,77.7,8,6,75.0,4.15,True,112180.73947370934,13.883745779336536,80.3,2023-01-05T00:00:00
IN_CR_00022,Creator_22,500,nano,14.62,Technology & Gadgets,Chingari,English,Delhi,75.2,31.6,0.0,46.3,53.7,7,5,71.4,4.12,False,308017.033673997,9.662399208243453,85.0,2023-05-25T00:00:00
IN_CR_00023,Creator_23,1785,nano,23.33,"Travel & Tourism,Regional Content","Twitter,YouTube",Hindi,Hyderabad,55.6,51.2,0.0,69.5,30.5,8,7,87.5,3.55,False,77754.39695722588,12.013707130865766,98.9,2024-04-10T00:00:00
IN_CR_00024,Creator_24,2174,nano,29.78,Beauty & Makeup,YouTube,Hindi,Chandigarh,64.9,25.0,10.1,75.9,24.1,4,3,75.0,4.59,False,611.722272608228,0.5095407960126204,79.6,2024-06-07T00:00:00
IN_CR_00025,Creator_25,9363,nano,6.09,"Gaming,Devotional & Spirituality","LinkedIn,Moj",Bengali,Kochi,55.3,39.8,4.9,7.9,92.1,3,2,66.7,4.05,False,1445.359423214334,25.234109915554093,90.2,2024-07-17T00:00:00
IN_CR_00026,Creator_26,500,nano,5.44,Regional Content,Instagram,Hindi,Kochi,73.8,32.3,0.0,47.2,52.8,4,3,75.0,4.13,True,235284.81545114625,15.174690024388939,85.9,2022-11-17T00:00:00
IN_CR_00027,Creator_27,8014,nano,15.86,"Food & Cooking,Sports & Cricket","Twitter,TikTok (historical)",English,Pune,78.2,63.7,0.0,64.4,35.6,1,0,0.0,3.54,False,0.0,10.830912570471863,85.3,2024-01-17T00:00:00
IN_CR_00028,Creator_28,55765,mid,10.62,"Beauty & Makeup,Music & Dance","Chingari,TikTok (historical),Moj",Hindi,Ahmedabad,35.0,14.9,50.1,62.1,37.9,4,3,75.0,4.44,True,66270.7307645536,3.565474223321975,84.3,2023-10-08T00:00:00
IN_CR_00029,Creator_29,1096,nano,7.12,"Gaming,Regional Content,Beauty & Makeup","YouTube,Chingari",Telugu,Pune,71.5,67.6,0.0,44.3,55.7,3,2,66.7,3.7,False,2990.585120784289,8.466083697327598,81.1,2025-02-03T00:00:00
IN_CR_00030,Creator_30,500,nano,28.06,News & Current Affairs,"Facebook,TikTok (historical)",English,Delhi,72.4,86.6,0.0,76.0,24.0,7,6,85.7,3.86,False,67677.52787209026,8.301788847375587,86.0,2024-04-09T00:00:00
IN_CR_00031,Creator_31,9198,nano,15.52,"Entertainment & Comedy,Gaming","TikTok (historical),YouTube",English,Mumbai,77.5,71.0,0.0,24.2,75.8,4,3,75.0,3.91,False,92554.49817868524,1.552921068685214,83.3,2025-04-08T00:00:00
IN_CR_00032,Creator_32,2492,nano,20.84,Devotional & Spirituality,"YouTube,Moj,Chingari,Josh",Bengali,Kochi,52.6,63.1,0.0,71.8,28.2,5,4,80.0,4.69,False,28345.989719245168,17.034988245502788,91.6,2022-11-26T00:00:00
IN_CR_00033,Creator_33,10127,micro,17.25,"Regional Content,Sports & Cricket,Fashion & Lifestyle","Facebook,Chingari,Instagram",Hindi,Chennai,50.2,46.4,3.4,46.6,53.4,4,3,75.0,3.21,False,5253.796344337201,7.869589942723337,79.4,2023-04-29T00:00:00
IN_CR_00034,Creator_34,4703,nano,8.67,Music & Dance,"Josh,Facebook",English,Bangalore,56.8,33.3,9.9,26.3,73.7,5,3,60.0,4.84,False,18353.117007710418,14.69088198782318,60.5,2023-07-29T00:00:00
IN_CR_00035,Creator_35,10726,micro,4.59,Entertainment & Comedy,"Moj,ShareChat,Josh",Hindi,Kochi,76.4,33.7,0.0,41.0,59.0,6,5,83.3,4.42,False,3024.4805259265827,9.45227780609353,92.9,2024-08-18T00:00:00
IN_CR_00036,Creator_36,11326,micro,28.69,"Education & Skills,Fashion & Lifestyle","Instagram,Chingari",Kannada,Jaipur,36.1,37.8,26.2,77.4,22.6,5,3,60.0,4.23,False,1859.0061032474691,17.000146433944046,67.9,2025-02-19T00:00:00
IN_CR_00037,Creator_37,500,nano,14.73,News & Current Affairs,"YouTube,Josh,LinkedIn,Moj",Bengali,Delhi,58.8,33.8,7.3,59.7,40.3,7,6,85.7,4.53,False,332642.2953371426,1.4381552655387668,89.2,2024-12-12T00:00:00
IN_CR_00038,Creator_38,2418,nano,17.72,"Devotional & Spirituality,Regional Content",Josh,English,Chandigarh,81.8,44.5,0.0,59.8,40.2,5,3,60.0,4.03,False,34636.08920025178,43.24401842905476,77.0,2023-09-13T00:00:00
IN_CR_00039,Creator_39,670550,macro,2.88,Beauty & Makeup,"TikTok (historical),Josh,Facebook",Hindi,Mumbai,64.9,37.4,0.0,59.7,40.3,8,5,62.5,4.2,True,637845.894628432,10.748953567914155,67.5,2025-07-31T00:00:00
IN_CR_00040,Creator_40,3337,nano,12.09,"Devotional & Spirituality,Gaming,Health & Fitness","Chingari,YouTube",English,Kolkata,62.8,33.1,4.1,44.7,55.3,4,3,75.0,4.4,False,18323.025750690816,15.705792949687304,77.2,2024-02-21T00:00:00
IN_CR_00041,Creator_41,1270,nano,7.53,"Devotional & Spirituality,Finance & Investment","LinkedIn,Chingari",Hindi,Bangalore,66.5,33.3,0.2,60.8,39.2,5,4,80.0,4.53,False,17481.323569374832,5.818768618269831,97.4,2024-04-03T00:00:00
IN_CR_00042,Creator_42,2297,nano,15.29,Regional Content,Twitter,Hindi,Mumbai,64.7,38.4,0.0,51.1,48.9,5,4,80.0,3.87,False,2963.458005752103,21.882659028016455,91.5,2024-11-08T00:00:00
